original_class,class_name
A001,ㄱ > 귀멸의 칼날
A002,ㄱ > 가면라이더
A003,ㄱ > 강철의 연금술사
A004,ㄱ > 걸즈 & 판처
A005,ㄱ > 겨울왕국
A006,ㄱ > 곰돌이 푸우
A007,ㄱ > 그랑블루 판타지
A008,ㄱ > 그 비스크돌은 사랑을 한다
A009,ㄱ > 기동전사 검사
A999,ㄱ > ETC
B001,ㄴ > 나루토 질풍전
B002,ㄴ > 나의 히어로 아카데미아
B003,ㄴ > 나츠메 우인장
B004,ㄴ > 노게임 노라이프
B005,ㄴ > 니어:오토마타
B006,ㄴ > 니지산지
B999,ㄴ > ETC
C001,ㄷ > 도쿄 리벤저스
C002,ㄷ > 드래곤볼
C003,ㄷ > 데드풀
C004,ㄷ > 데이트 어 라이브
C005,ㄷ > 도검난무 온라인
C006,ㄷ > 도라에몽
C007,ㄷ > 도쿄구울
C008,ㄷ > 동물의 숲
C009,ㄷ > 동방 프로젝트
C010,ㄷ > DC/디씨
C011,ㄷ > 디지몬 어드벤처
C012,ㄷ > 디즈니
C013,ㄷ > 디즈니 트위스티드 원더랜드
C999,ㄷ > ETC
D001,ㄹ > 러브라이브
D002,ㄹ > Re:제로부터 시작하는 이세계 생활
D003,ㄹ > 루팡 3세
D999,ㄹ > ETC
E001,ㅁ > 마녀의 여행
E002,ㅁ > 마도카 마기카
E003,ㅁ > 마동왕 그랑조트
E004,ㅁ > 마블/MARVEL
E005,ㅁ > 명일방주
E006,ㅁ > 명탐정 코난
E007,ㅁ > 모노가타리 시리즈
E008,ㅁ > 몬스터 헌터
E009,ㅁ > 문호 스트레이 독스
E010,ㅁ > 미키마우스
E999,ㅁ > ETC
F001,ㅂ > 배트맨 시리즈
F002,ㅂ > 뱅 드림! (Bang Dream!)
F003,ㅂ > 벽람항로
F004,ㅂ > 별의 커비
F005,ㅂ > 보컬로이드
F006,ㅂ > 봇치 더 록
F007,ㅂ > 블루 록
F008,ㅂ > 블루 아카이브
F999,ㅂ > ETC
G001,ㅅ > 산리오 캐릭터즈
G002,ㅅ > 세일러문
G003,ㅅ > 소녀전선
G004,ㅅ > 소드 아트 온라인
G005,ㅅ > 스타워즈
G006,ㅅ > 스파이더맨 시리즈
G007,ㅅ > SPY×FAMILY
G008,ㅅ > 슬램덩크
G009,ㅅ > 시원찮은 그녀를 위한 육성방법
G010,ㅅ > 신세기 GPX 사이드 포뮬러
G999,ㅅ > ETC
H001,ㅇ > 아이돌리쉬 세븐
H002,ㅇ > 아이돌 마스터
H003,ㅇ > 아이언맨
H004,ㅇ > 앙상블 스타즈
H005,ㅇ > 어벤져스
H006,"ㅇ > 여친, 빌리겠습니다"
H007,ㅇ > 에반게리온
H008,ㅇ > 오등분의 신부
H009,ㅇ > 오소마츠상
H010,ㅇ > 오버워치
H011,ㅇ > 오버로드
H012,ㅇ > 우마무스메 프리티 더비
H013,ㅇ > 울트라맨
H014,ㅇ > 원피스
H015,ㅇ > 원신
H016,ㅇ > 유루캠Δ
H017,ㅇ > 유희왕
H018,ㅇ > 은혼
H019,ㅇ > 이 멋진 세계에 축복을
H020,ㅇ > 이상한 나라의 앨리스
H021,ㅇ > 인어공주
H999,ㅇ > ETC
I001,ㅈ~ㅊ > 저스티스리그
I002,ㅈ~ㅊ > 전생했더니슬라임이었던건에대하여
I003,ㅈ~ㅊ > 죠죠의 기묘한 모험
I004,ㅈ~ㅊ > 주문은 토끼입니까?
I005,ㅈ~ㅊ > 주술회전
I006,ㅈ~ㅊ > 진격의 거인
I007,ㅈ~ㅊ > 지브리 스튜디오
I008,ㅈ~ㅊ > 짱구는 못말려
I009,ㅈ~ㅊ > 청춘 돼지 시리즈
I010,ㅈ~ㅊ > 체인소맨
I011,ㅈ~ㅊ > 최애의아이
I012,ㅈ~ㅊ > 치이카와
I998,ㅈ > ETC
I999,ㅊ > ETC
J001,ㅋ~ㅌ > 카구야님은 고백받고 싶어
J002,ㅋ~ㅌ > 카드캡터 사쿠라
J003,ㅋ~ㅌ > 쿠로코의 농구
J004,ㅋ~ㅌ > 토이스토리
J005,ㅋ~ㅌ > 투러브 트러블
J998,ㅋ > ETC
J999,ㅌ > ETC
K001,ㅍ~ㅎ > 파이널 판타지
K002,ㅍ~ㅎ > 페르소나
K003,ㅍ~ㅎ > 페이트 시리즈
K004,ㅍ~ㅎ > 포켓몬스터
K005,ㅍ~ㅎ > 프로젝트 세카이
K006,ㅍ~ㅎ > 프린세스 커넥트
K007,ㅍ~ㅎ > 하이큐
K008,ㅍ~ㅎ > 해리포터
K009,ㅍ~ㅎ > 홀로라이브
K010,ㅍ~ㅎ > 히프노시스 마이크
K998,ㅍ > ETC
K999,ㅎ > ETC
,
,
