manufacturer_name,no
굿스마일컴퍼니 (Goodsmile Company),1
반프레스토 (BANPRESTO),2
후류 (FURYU),3
오렌지루즈 (ORENGE ROUGE),4
유니온 크리에이티브 (Union Creative),5
세가 (SEGA) ,6
F:NEX,7
프링 (FREEing),8
eStream,9
굿스마일아츠 상하이,10
플럼 (PLUM),11
5PRO STUDIO(오프로스튜디오),12
코토부키야 (KOTOBUKIYA) ,13
메디코스 (MEDICOS) ,14
캡콤,15
에몬토이즈 (EMONTOYS),16
메가하우스 (MEGA HOUSE) ,17
맥스팩토리 (Max Factory),18
에이펙스 토이즈 (APEX TOYS),19
엘 코코,20
타이토 (TAITO) ,21
포니 캐니온 플래닝,22
큐즈Q (QUESQ),23
반다이스피릿 (BANDAI SPIRITS),24
카도카와 (KADOKAWA),25
펫! (Phat!) ,26
알터 (Alter) ,27
S-Fire,28
벨파인 (BELLFINE),29
반다이 (BANDAI),30
핫토이 (Hot Toy) ,31
엔스카이 (ENSKY) ,32
하비스톡 (Hobby Stock),33
애니플렉스(ANIPLEX),34
미토스 (Myethos),35
리코르누 (Licorne),36
메디콤토이 (MEDI COM TOY) ,37
리멘트 (Re-ment),38
카이요도 (KAIYODO) ,39
하비맥스 (HOBBYMAX),40
스퀘어 에닉스 (SQUARE ENIX) ,41
크래프트 에그,42
아마쿠니 (AMAKUNI),43
그레이 파커 서비스 (Gray Parker Service),44
헬리오스 (HELIOS),45
인텔리전트시스템즈 (INTELLIGENT SYSTEMS),46
플러스원 (PLUSONE),47
리버스 스튜디오 (Reverse Studio),48
도쿄 오타쿠 모드 (Tokyo Otaku Mode),49
윙 (WING) ,50
Anigame,51
(주)대원미디어,52
아미아미 (AMIAMI),53
스피리테일 (Spiritale),54
센티넬 (SENTINAL),55
캐러애니 (Chara-Ani.) ,56
GENCO(젠코),57
오르카토이즈 (ORCATOYS),58
시스템서비스,59
-,60
GECCO,61
무빅 (MOVIC) ,62
아스파이어(ASPIRE),63
타카라토미 아츠 (TAKARA TOM ARTS),64
바가지 (ヒサゴ),65
부시로드 크리에이티브 (Bushiroad Creative),66
알파맥스 (ALPAMAX),67
토이즈웍스 (Toys Works),68
퍼니나이츠,69
POMMOP (폰못푸),70
굿스마일레이싱,71
풀크라 (PULCHRA),72
이지에이트,73
엑스플러스 (X-PLUS) ,74
TMS(토무스) 엔터테인먼트,75
amie×ALTAiR,76
아쿠아마린 (Aqua Marine),77
하비재팬 (Hobby JAPAN)(Manufactured by AMAKUNI),78
츠메아트/츠메아츠 (TSUME ART),79
艾漫(아이만),80
소우요쿠사  (SOUYOKUSHA),81
에볼루션 토이 (Evolution Toy),82
브로콜리 (BROCCOLI),83
토미텍 (TOMYTEC),84
솔 인터내셔널,85
굿스마일레이싱&타입문레이싱,86
스탠드스톤즈,87
웨이브 (WAVE),88
미메요이,89
리볼브 (REVOLVE),90
중외공업,91
에프도트하트,92
엔소토이즈,93
루미너스 박스 (LUMINOUS BOX),94
Miyuki,95
리보스 (RIBOSE),96
PROOF,97
프라임1스튜디오,98
류노스 (Ryu-NS),99
디아이지(DIG),100
사이게임즈(Cygames),101
디자인 코코,102
스트롱거 (Stronger),103
Animester,104
엘레강트,105
1000toys,106
ABC Animation,107
MAPPA,108
원더러 (WANDERER),109
아워트레저 (Our Treasure),110
MiHoYo,111
플레어 (FLARE),112
스톰 토이즈 (Storm Toys),113
카이텐도 (KAITENDOH),114
Hiya Toys,115
알마비앙카 (アルマビアンカ),116
알제논 프로덕트 (algernon Product),117
원더풀웍스 (Wonderful Works),118
네온맥스 (Neonmax),119
다이키공업,120
골든 헤드+,121
ACTOYS,122
액션토이즈(ACTION TOYS),123
반다이남코 (BANDAI NAMCO),124
하코이리무스메,125
